"Image","Actual word","Kernel size","Kernel type","Iterations","Without Filter","Opening","Closing","Erosion","Dilation","OC","CO","OCO","COC","Sharpened"
"0.jpeg","BE",2,0,1,"BE","BE","BE","RE",,"RF","RFE",,,"BE"
"1.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the","the"
"10.png","hours)",2,0,1,,,,"hours)",,,,"hours)","hours)","hours)"
"100.png","mean",2,0,1,,,,,,,,,,
"1000.png","(ii)",2,0,1,,,,,,"(ii)","(ii)",,,
"1001.png","(d)",2,0,1,,,,,,,,,,
"1002.png","out",2,0,1,,,,,,,,,,
"1003.png","exchange",2,0,1,"exchange","exchange","exchange","exchange","exchange","exchange","exchange","exchange","exchange","exchange"
"1004.jpeg","there",2,0,1,"there","there","there","there","there","there","there","there","there","there"
"1005.jpeg","you/",2,0,1,"you/","you/","you/","you/","you/","you/","you/","you/","you/","vyou/"
"1006.png","FOB",2,0,1,,,,,,,,,,
"1007.png","by",2,0,1,,,,,,,,,,
"1008.jpeg","little",2,0,1,,,,,,"little","little","little","little",
"1009.png","School.",2,0,1,,,,,,,,"School","School",
"101.png","data",2,0,1,,,,,,,,,,
"1010.png","Examine",2,0,1,,"examine","examine",,,"yamine","yamine","-xamine","-xamine","examine"
"1011.png","Policy",2,0,1,,,,,,,,,,
"1012.jpeg","Drer",2,0,1,"Drer","Drer","Drer","Drer","Drer","Drer","lrer","Drer","Drer","Drer"
"1013.png","of",2,0,1,,,,,,,,,,
"1014.jpeg","HIM",2,0,1,,,,,,"HIM","HIM","HIM","HIM","HIM"
"1015.png","for",2,0,1,"for","for","for","for","for","for","for","for","for","for"
"1016.jpeg","{ doubled",2,0,1,"{ doubled","{ doubled","{ doubled","{ doubled","{ doubled","{ doubled","{ doubled","{ doubled","{ doubled","{ doubled"
"1017.png","(2",2,0,1,,,,,,,,,,
"1018.png","the",2,0,1,,,,,,,,,,
"1019.jpeg","that",2,0,1,,,,,,,,,,
"102.png","Trade",2,0,1,,,,,,,,,,
"1020.jpeg","that",2,0,1,"that","that","that","that","that","that","that","that","that","that"
"1021.png","center",2,0,1,,,,,,,,,,
"1022.jpeg","wisely",2,0,1,"wisely","wisely","wisely","wisely","wisely","wisely","wisely","wisely","wisely","wisely"
"1023.png","in",2,0,1,"in","in",,"in","in","mn","nm","wn","wn","in"
"1024.png","false",2,0,1,,,,,,,,,,
"1025.png","by",2,0,1,"by","by","by","by","by","by","by","by","by","by"
"1026.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the",
"1027.png","for",2,0,1,,,,,,,,,,
"1028.png","Con.",2,0,1,"Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con.","C‘on."
"1029.png","OR",2,0,1,,,,,,,,,,
"103.png",1,2,0,1,,,,,,,,,,
"1030.png","an",2,0,1,,,,,,,,,,
"1031.jpeg","AHEAD",2,0,1,"AHEAND","AHEAD","AHFAN","AHEAD","AHFARN","AHEAN","AHEAN","AHEAD","AHEAD","AHEAD"
"1032.png","price",2,0,1,,,,,,,,,,"B price"
"1033.png","?",2,0,1,,,,,,,,,,
"1034.jpeg","hour=",2,0,1,,,,"hour=",,"hour","hour","hour","hour",
"1035.png","(b)",2,0,1,,,,,,,,,,
"1036.jpeg","plays",2,0,1,"plays","plays","plays","plays","plays","plays","plays","plays","plays","plays"
"1037.jpeg","the",2,0,1,,"the","the",,"the","the","the","the","the",
"1038.jpeg","and",2,0,1,"and","and","and","and","and","and","and","and","and","and"
"1039.png"," ",2,0,1,,,,,,,,,,
"104.jpeg","she>",2,0,1,"she>","she>","she>","she>","she>","che>","che>","che>","che>","she>"
"1040.jpeg","it",2,0,1,,,,,,,,,,
"1041.png","requirements",2,0,1,"requirements","requirements","requirements","requirements","requirements","requirements","requirements","requirements","requirements","requirements"
"1042.jpeg","IN",2,0,1,,,,,,,,,,
"1043.png","call",2,0,1,,,"cally",,,"eal","eal","eal","eal",
