"Path","Actual word","Result"
"0.jpeg","BE",
"1.jpeg","the","the"
"10.png","hours)","hours)"
"100.png","mean",
"1000.png","(ii)",
"1001.png","(d)",
"1002.png","out",
"1003.png","exchange","exchange"
"1004.jpeg","there","there"
"1005.jpeg","you/","you/"
"1006.png","FOB",
"1007.png","by",
"1008.jpeg","little","detthe"
"1009.png","School.",
"101.png","data",
"1010.png","Examine","iH xamine"
"1011.png","Policy",
"1012.jpeg","Drer","Drer"
"1013.png","of",
"1014.jpeg","HIM",
"1015.png","for","for"
"1016.jpeg","{ doubled","{ doubled"
"1017.png","(2",
"1018.png","the",
"1019.jpeg","that",
"102.png","Trade",
"1020.jpeg","that","that"
"1021.png","center",
"1022.jpeg","wisely","wisely"
"1023.png","in",
"1024.png","false",
"1025.png","by",
"1026.jpeg","the","the"
"1027.png","for","fer"
"1028.png","Con.","fan."
"1029.png","OR",
"103.png",1,
"1030.png","an",
"1031.jpeg","AHEAD",
"1032.png","price","B price"
"1033.png","?",
"1034.jpeg","hour=","boure"
"1035.png","(b)",
"1036.jpeg","plays","olays"
"1037.jpeg","the",
"1038.jpeg","and","and"
"1039.png"," ",
"104.jpeg","she>","wv

“"
"1040.jpeg","it",
"1041.png","requirements","requirements"
"1042.jpeg","IN",
"1043.png","call","pad"
"1044.jpeg","Lion","Ligy"
"1045.jpeg","the","the"
"1046.png","apple",
"1047.jpeg","better","4h

yer"
"1048.jpeg","without","withouw"
"1049.jpeg","it",
"105.jpeg","they","they"
"1050.jpeg","em","em"
"1051.png","Western",
"1052.png","for",
"1053.png","complete",
"1054.png","considered",
"1055.png","in",
"1056.jpeg","no","no"
"1057.jpeg","THE",
"1058.png","Explain","Explain"
"1059.png","were",
"106.png","parts",
"1060.jpeg","rate","reste"
"1061.png","Explain",
"1062.jpeg","with",
"1063.jpeg","you","you"
"1064.png","—",
"1065.png","allows",
"1066.png","banking","Darina"
"1067.jpeg","you",
"1068.png"," ",
"1069.jpeg","PASS",
"107.jpeg","baseless",
"1070.jpeg","the","the"
"1071.png","area",
"1072.jpeg","on:",
"1073.jpeg","down","down"
"1074.png","your",
"1075.jpeg","held",
"1076.jpeg","day","day"
"1077.png","electronics",
"1078.jpeg","have","have"
"1079.png","excited",
"108.png",12,
"1080.png","weakened","Weakeanenr"
"1081.jpeg","dollars",
"1082.png","Brand",
"1083.png","hit",
"1084.jpeg","if",
"1085.png","supply","supply"
"1086.jpeg","the",
"1087.png","required","requ"
"1088.png","his",
"1089.jpeg","NOTE",
"109.jpeg","DROPPED","DROPPED"
"1090.jpeg","all",
"1091.png","Chinese",
"1092.jpeg","totally\",
"1093.png","media",
"1094.png","Explain",
"1095.jpeg","neighborhood","neighborhood"
"1096.jpeg","satisfaction",
"1097.png","pre-shipment","pre-shipmen"
"1098.jpeg","monotonous","monotonous"
"1099.png","how",
"11.png","was",
"110.jpeg","Kansas",
"1100.png","drawing","drawing"
"1101.jpeg","you",
"1102.jpeg","( dont",
"1103.png","to",10
"1104.jpeg","FOR",
"1105.jpeg","the","the"
"1106.jpeg","AND",
"1107.png","a",
"1108.jpeg","with",
"1109.jpeg","as","Ccjs"
"111.jpeg","THE",
"1110.jpeg","loud","“nurl"
"1111.png","system","system"
"1112.jpeg","care","care"
"1113.png","“Due",
"1114.png","“investment",
"1115.jpeg","(an",
"1116.png","theory.","tneory."
"1117.png","(iv)",
"1118.png","Bought","Boudnt"
"1119.jpeg","Silver","Slee"
"112.jpeg","wouldnt","wotulclar"
"1120.jpeg","GOVERNMENT","CSOVERNMENT"
"1121.jpeg","persons }","hersous }"
"1122.png","the",
"1123.png","A",
"1124.jpeg","THE","THE"
"1125.png","The",
"1126.jpeg","not",
"1127.jpeg",56,
"1128.png","economic",
"1129.png","mean",
"113.png","the",
"1130.jpeg","PROBABLE","PRORBABIF"
"1131.png","(Attempt",
"1132.png","(2)",
"1133.png","question",
"1134.jpeg","the",
"1135.png","inside","nm inside"
"1136.png","What","What"
"1137.jpeg","TRUTH","TRITH"
"1138.png","What",
"1139.png","in",
"114.jpeg","It",
"1140.png","your","Your"
"1141.png","dire",
"1142.png","to",
"1143.jpeg","how","how"
"1144.jpeg","of",
"1145.png","to",
"1146.jpeg","you",
"1147.jpeg","own","own"
"1148.png","restaurant",
"1149.jpeg","WAS",
"115.jpeg","you",
"1150.png","prescriptions","ons

vat
$2
~

£2,
$x
qa

es

bent

mate"
"1151.jpeg","MYSTERIOUS","NMIYSTERIOL!"
"1152.jpeg","is",
"1153.jpeg","dashed",
"1154.jpeg","makes",
"1155.png","years.","Vears."
"1156.png","(c)",
"1157.jpeg","peace",
"1158.png","the",
"1159.png","different",
"116.jpeg","smirking","smirking"
"1160.jpeg","WAS",
"1161.jpeg","mcht","1

cht"
"1162.jpeg","Ive",
"1163.jpeg","and","ait"
"1164.jpeg","to",
"1165.png","crosses",
"1166.png",8,
"1167.png","appraisal","appraisal"
"1168.jpeg","anything","nivthin"
"1169.png","Profit",
"117.jpeg","some","some"
"1170.jpeg","the","the"
"1171.png","allowed","allowed"
"1172.jpeg","an","ait"
"1173.png","orders","ornere"
"1174.jpeg","""human","Vespa gy"
"1175.jpeg","no","No"
"1176.png","auditing","auditing"
"1177.jpeg","so",
"1178.png","Strategies",
"1179.png","child","Pata)

Lak fas"
"118.jpeg","But",
"1180.png","d)",
"1181.jpeg","fall",
"1182.jpeg","read","read"
"1183.jpeg","college|",
"1184.png","ground","f
ZA

c"
"1185.jpeg","of",
"1186.png","living","ri living"
"1187.png","is","es"
"1188.jpeg","was +","wos +"
"1189.jpeg","his",
"119.jpeg","""all","“adit"
"1190.png","benefits","heonefits"
"1191.jpeg","rank","rout"
"1192.jpeg","the","the"
"1193.jpeg","SOME",
"1194.png","Company",
